id;cod_fiscale;cognome;nome;data_nascita;num_telefono;email;reparto;ruolo;selettore
1;mobile Fish;Home Loan Account Table Computer;Trace;2019-05-27T14:39:59;Metal deposit;Waino_Reichert21@gmail.com;DIFESA;POR;DIFENSORE
2;Namibia;Steel zero administration;Multi-channelled Licensed;2019-05-27T07:50:03;syndicate;Laron85@hotmail.com;DIFESA;POR;DIFENSORE
3;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;2019-05-27T06:46:30;hardware Costa Rica ;Alexandrea_Wisozk44@gmail.com;DIFESA;POR;DIFENSORE
4;software scale i;Louisiana Specialist Home Loan Account;Plastic;2019-05-27T03:25:22;Small;Henri.Rutherford@hotmail.com;DIFESA;POR;DIFENSORE
5;generating Highw;moratorium moratorium;New York tangible Mississippi;2019-05-27T13:29:07;Developer;Noemi.Reichert@hotmail.com;DIFESA;POR;DIFENSORE
6;Corporate Phased;white Brand Money Market Account;Salad Web virtual;2019-05-27T07:28:26;RSS;Cyrus_Dibbert@hotmail.com;DIFESA;POR;DIFENSORE
7;Jewelery cutting;Games;Iraq Bedfordshire;2019-05-27T06:03:26;encompassing;Twila21@gmail.com;DIFESA;POR;DIFENSORE
8;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;2019-05-27T16:55:34;Granite Berkshire De;Larry76@gmail.com;DIFESA;POR;DIFENSORE
9;Gloves Bedfordsh;Kentucky Algerian Dinar Clothing;open-source turn-key;2019-05-27T20:22:02;Quality;Gerson_Larson13@yahoo.com;DIFESA;POR;DIFENSORE
10;Agent;Human deposit;even-keeled Saint Helena Pound;2019-05-27T02:21:21;SCSI drive THX;Arthur78@hotmail.com;DIFESA;POR;DIFENSORE
