id;cod_fiscale;cognome;nome;specializzazione;num_telefono;email;indirizzo_studio;paese_studio
1;Internal Bucking;ADP;Hungary Configurable;interface;Toys;Romaine32@gmail.com;Concrete National;Ranch impactful
2;Berkshire Awesom;pixel Pennsylvania;architectures Cotton;viral;payment Illinois dot;Ervin.Moen0@hotmail.com;Decentralized;Multi-tiered Pizza
3;Gorgeous;Car Internal Small;Grocery Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Be;Marcelino_Schuster55@hotmail.com;Mississippi stable;mint green Director system
4;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro;Frieda.Harvey@gmail.com;Awesome Frozen Mouse open architecture;Gorgeous Metal Shoes
5;Investment Accou;Investment Account cross-platform;Configuration;parse infrastructures Mobility;Implementation Shirt;Alysson.Spinka82@yahoo.com;override back-end hacking;open-source
6;payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho cu;Geraldine.Lemke@yahoo.com;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
7;Belize Dollar Ba;Investment Account Rwanda Customer;Liaison copy program;hack Electronics Oklahoma;Cambridgeshire navig;Berniece.Hodkiewicz12@yahoo.com;syndicate haptic;Bedfordshire
8;application driv;Credit Card Account Nevada;Persistent transparent Chips;front-end Intuitive vortals;Communications;Tania50@gmail.com;Money Market Account;bus
9;Security Virgini;solid state Clothing deposit;Maine Checking Account markets;Unbranded programming District;Concrete;Cassandra12@hotmail.com;National FTP Czech Republic;Investment Account streamline
10;sticky neural Ki;Cotton relationships;Chief web-enabled interactive;District Idaho Grocery;Concrete Towels Avon;Alexis36@yahoo.com;Indiana deposit Electronics;Bedfordshire Strategist
